Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
Quantum Low Duration Short Duration Plan - Regular Plan - IDCW,Quantum Mutual Fund,Debt,Short Duration,Low Duration,Low,3,2.7,6.61,5.26,0.71,162.39,1572.32,23.0,100,25000,Anish Tawakley,Passive
Canara Robeco Equity Arbitrage Arbitrage Fund - Regular Plan - Growth,Canara Robeco Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,5.93,4.83,8.51,0.55,773.54,7184.63,13.8,5000,1000,Varun Goel,Growth
DSP Opportunities Mid Cap Scheme - Direct Plan - Growth,DSP Mutual Fund,Equity,Mid Cap,Opportunities,High,4,26.97,19.74,17.94,1.79,705.95,410.13,21.9,1000,500,S. Nagnath,Active
Quantum Diversified Multi Cap Scheme - Direct Plan - IDCW,Quantum Mutual Fund,Equity,Multi Cap,Diversified,High,3,24.3,25.22,25.07,1.64,310.83,770.03,13.6,100,1000,Ajay Tyagi,GARP
Motilal Oswal Discovery Mid Cap Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,4,19.6,19.18,22.27,0.98,423.21,181.83,8.7,500,1000,Swarup Mohanty,Active
JM Financial Education Children's Fund Scheme - Regular Plan - IDCW,JM Financial Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,5,16.19,14.96,16.44,0.43,497.54,4148.99,15.5,1000,25000,Chandraprakash Padiyar,Active
Edelweiss Overnight Liquid Scheme - Regular Plan - Growth,Edelweiss Mutual Fund,Debt,Liquid,Overnight,Low,3,-2.26,4.44,1.37,0.48,331.69,409.09,1.6,1000,5000,S. Nagnath,Active
SBI Income Conservative Hybrid Scheme - Regular Plan - Growth,SBI Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,3,8.91,8.77,,1.19,141.24,1018.97,6.1,1500,25000,Manish Gunwani,Index
Aditya Birla Sun Life Money Market Short Duration Plan - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Debt,Short Duration,Money Market,Low,2,1.11,5.15,6.6,0.59,661.02,364.55,8.6,2000,1000,Kalpen Parekh,Value
Baroda BNP Paribas Nifty 50 Index Fund Scheme - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Other,Index Fund,Nifty 50,Moderate,4,19.71,16.35,11.42,0.31,37.72,886.88,17.3,1000,10000,Neelesh Surana,Value
Canara Robeco Education Children's Fund Plan - Regular Plan - Growth,Canara Robeco Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,3,18.3,17.65,17.23,1.44,541.5,1005.4,7.6,500,5000,Vetri Subramaniam,Income
DSP Overnight Liquid Plan - Regular Plan - IDCW,DSP Mutual Fund,Debt,Liquid,Overnight,Low,2,6.13,4.82,3.39,0.17,406.95,364.06,25.0,500,5000,R. Srinivasan,Growth
Parag Parikh Dynamic Bond Long Duration Plan - Regular Plan - IDCW,Parag Parikh Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderately High,4,13.0,6.03,10.15,0.49,39.22,3282.96,29.1,1000,5000,Chandraprakash Padiyar,Income
Bank of India Senior Citizen Retirement Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderate,5,12.49,12.01,7.29,0.67,372.01,2459.35,19.0,100,10000,Roshi Jain,Active
Bank of India High Yield Credit Risk Scheme - Regular Plan - Growth,Bank of India Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,5.94,9.46,10.11,0.59,335.62,3797.46,29.7,500,5000,Pranav Gokhale,GARP
JM Financial Focused Large Cap Scheme - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Large Cap,Focused,Moderate,5,15.23,17.96,17.37,1.59,549.89,5467.74,26.5,1000,500,Chirag Setalvad,Passive
Canara Robeco Tax Advantage ELSS Scheme - Regular Plan - IDCW,Canara Robeco Mutual Fund,Equity,ELSS,Tax Advantage,High,5,20.17,,,0.99,257.15,3178.07,1.9,1500,10000,Mahesh Patil,Value
Bandhan Tax Saver ELSS Scheme - Regular Plan - Growth,Bandhan Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,25.18,26.84,23.83,1.14,313.36,1129.11,27.5,500,10000,Rahul Baijal,Index
Sundaram Equity Arbitrage Arbitrage Fund - Regular Plan - Growth,Sundaram Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,13.83,6.02,5.67,0.25,215.72,187.09,28.5,500,5000,Rohit Singhania,Value
Union Income Conservative Hybrid Scheme - Direct Plan - IDCW,Union Mutual Fund,Hybrid,Conservative Hybrid,Income,Moderate,3,8.33,6.88,9.09,1.43,706.26,788.79,15.7,500,5000,Taher Badshah,Value
Bank of India Equity Savings Aggressive Hybrid Scheme - Regular Plan - Growth,Bank of India Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,5,16.27,15.43,11.58,0.58,427.39,4602.9,29.1,1000,10000,Atul Kumar,Active
Axis Money Market Short Duration Scheme - Direct Plan - IDCW,Axis Mutual Fund,Debt,Short Duration,Money Market,Low,1,5.08,4.25,7.66,0.8,348.83,35846.81,9.9,500,1000,Rajeev Thakkar,Income
Canara Robeco Senior Citizen Retirement Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,2,9.76,7.91,6.97,0.45,283.05,4161.92,28.5,100,25000,R. Srinivasan,Active
HSBC MNC Thematic Plan - Direct Plan - IDCW,HSBC Mutual Fund,Equity,Thematic,MNC,Moderately High,5,,26.91,27.29,0.53,747.75,203.85,23.1,1500,500,Atul Kumar,GARP
PGIM India Money Market Short Duration Scheme - Regular Plan - IDCW,PGIM India Mutual Fund,Debt,Short Duration,Money Market,Low,2,9.66,7.3,11.99,0.63,740.33,233.93,16.1,5000,5000,Ashish Kela,Growth
DSP Tax Saver ELSS Fund - Regular Plan - Growth,DSP Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,5,20.75,21.03,22.26,0.52,162.31,1175.11,15.0,2000,5000,Niket Shah,Active
Bandhan Sensex Index Fund Fund - Regular Plan - IDCW,Bandhan Mutual Fund,Other,Index Fund,Sensex,Moderate,3,12.16,13.37,15.52,0.34,244.75,138.26,29.0,2000,10000,Jinesh Gopani,Blend
Sundaram Dynamic Multi Cap Plan - Direct Plan - IDCW,Sundaram Mutual Fund,Equity,Multi Cap,Dynamic,Moderately High,4,8.59,16.18,,1.65,167.33,570.07,2.9,1500,1000,S. Nagnath,Index
Mirae Asset Overnight Liquid Scheme - Regular Plan - IDCW,Mirae Asset Mutual Fund,Debt,Liquid,Overnight,Low,2,-3.6,3.04,6.12,0.41,732.79,2109.08,2.0,2000,1000,Jinesh Gopani,GARP
Nippon India Regular Savings Conservative Hybrid Plan - Regular Plan - Growth,Nippon India Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,3,15.71,10.92,11.0,0.58,677.5,3888.42,22.0,1000,1000,Anish Tawakley,Blend
Franklin Templeton Nifty 50 Index Fund Scheme - Regular Plan - Growth,Franklin Templeton Mutual Fund,Other,Index Fund,Nifty 50,Moderate,4,5.79,10.18,7.3,0.42,156.03,5171.0,16.9,100,1000,Niket Shah,Passive
HDFC Education Children's Fund Scheme - Regular Plan - Growth,HDFC Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,4,,17.19,12.94,0.68,538.1,595.15,26.7,1500,10000,Vetri Subramaniam,Blend
Canara Robeco 10Y Gilt Long Duration Fund - Regular Plan - Growth,Canara Robeco Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,2,2.66,7.64,10.69,1.17,220.73,297.7,17.0,1000,500,Amit Ganatra,Value
DSP Ultra Short Liquid Plan - Direct Plan - Growth,DSP Mutual Fund,Debt,Liquid,Ultra Short,Low,3,2.65,3.58,,0.31,471.84,1078.9,0.8,1500,10000,Manish Gunwani,Active
Bandhan Multi Asset Dynamic Asset Allocation Fund - Direct Plan - Growth,Bandhan Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,4,12.42,14.56,10.09,1.46,764.5,347.52,5.9,1500,500,Rohit Singhania,GARP
Bank of India Overnight Liquid Fund - Direct Plan - Growth,Bank of India Mutual Fund,Debt,Liquid,Overnight,Low,3,1.32,3.62,5.59,0.32,314.08,201.93,12.9,2500,10000,Neelesh Surana,Value
Invesco Low Duration Short Duration Scheme - Direct Plan - IDCW,Invesco Mutual Fund,Debt,Short Duration,Low Duration,Low,2,-2.72,4.02,7.83,0.25,567.79,811.63,11.4,500,1000,Vinay Sharma,Passive
Tata Overnight Liquid Scheme - Regular Plan - IDCW,Tata Mutual Fund,Debt,Liquid,Overnight,Low,2,13.6,6.53,8.93,0.13,537.97,1903.15,12.6,2500,10000,Sankaran Naren,GARP
Bandhan High Yield Credit Risk Fund - Direct Plan - Growth,Bandhan Mutual Fund,Debt,Credit Risk,High Yield,Moderate,1,0.35,5.29,8.2,0.95,246.92,5136.67,22.6,500,500,Manish Gunwani,Index
DSP Tax Advantage ELSS Scheme - Direct Plan - IDCW,DSP Mutual Fund,Equity,ELSS,Tax Advantage,High,2,6.62,10.59,14.8,1.37,430.52,661.6,18.1,500,25000,Kalpen Parekh,Active
DSP Diversified Multi Cap Scheme - Direct Plan - IDCW,DSP Mutual Fund,Equity,Multi Cap,Diversified,High,4,26.13,25.76,21.93,0.61,433.19,843.08,26.2,500,25000,Chandraprakash Padiyar,Index
JM Financial Income Conservative Hybrid Fund - Regular Plan - Growth,JM Financial Mutual Fund,Hybrid,Conservative Hybrid,Income,Moderate,2,-0.69,6.73,2.75,1.17,166.14,1996.15,11.5,1500,10000,Rahul Baijal,Income
PGIM India High Yield Credit Risk Plan - Regular Plan - Growth,PGIM India Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,3,3.16,9.35,8.41,0.99,436.34,576.36,24.3,500,5000,Dhaval Gada,Passive
SBI Money Market Short Duration Fund - Regular Plan - IDCW,SBI Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,4,9.41,6.22,5.34,0.28,535.29,2046.23,16.0,500,10000,Manish Gunwani,Value
Bandhan Ultra Short Liquid Plan - Regular Plan - Growth,Bandhan Mutual Fund,Debt,Liquid,Ultra Short,Low,3,10.86,4.35,5.22,0.13,364.24,3382.29,15.1,5000,1000,Rajeev Thakkar,Blend
Sundaram Gift Children's Fund Fund - Regular Plan - IDCW,Sundaram Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,3,8.51,9.94,13.93,1.39,551.08,2926.75,25.8,100,25000,Kalpen Parekh,Blend
Edelweiss Focused Large Cap Plan - Regular Plan - IDCW,Edelweiss Mutual Fund,Equity,Large Cap,Focused,Moderate,5,22.43,25.3,22.08,0.66,339.03,321.65,4.5,5000,10000,Ajay Tyagi,Blend
DSP Tax Advantage ELSS Plan - Direct Plan - Growth,DSP Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,5,19.66,20.59,19.06,1.62,715.66,200.19,22.8,1000,1000,Chandraprakash Padiyar,Active
UTI Focused Large Cap Scheme - Regular Plan - Growth,UTI Mutual Fund,Equity,Large Cap,Focused,Moderate,4,17.32,22.89,19.19,0.82,647.7,147.85,16.9,5000,500,Mahesh Patil,Index
HSBC 10Y Gilt Long Duration Plan - Direct Plan - Growth,HSBC Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,3,3.66,7.93,,0.58,557.75,3249.33,1.0,2000,25000,Kalpen Parekh,Value
Bandhan ESG Thematic Scheme - Regular Plan - Growth,Bandhan Mutual Fund,Equity,Thematic,ESG,High,4,15.2,14.5,10.23,1.82,180.48,5117.09,17.1,500,25000,Chandraprakash Padiyar,Growth
ICICI Prudential Regular Savings Conservative Hybrid Plan - Regular Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,4,7.32,9.63,12.72,0.65,460.4,2695.57,22.5,2500,5000,Ajay Tyagi,Active
Mirae Asset Emerging Small Cap Fund - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,Small Cap,Emerging,High,4,16.46,17.11,20.29,2.08,439.71,3116.56,3.4,1000,5000,Gopal Agrawal,Index
Quantum Opportunities Mid Cap Scheme - Regular Plan - IDCW,Quantum Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,3,32.9,27.72,31.29,1.06,78.76,1666.03,13.4,2000,10000,Ankit Agarwal,Growth
Axis Micro Cap Small Cap Plan - Regular Plan - Growth,Axis Mutual Fund,Equity,Small Cap,Micro Cap,Very High,4,21.01,16.65,12.41,1.91,346.71,327.78,10.5,500,10000,R. Srinivasan,Value
HSBC Focused Large Cap Fund - Regular Plan - IDCW,HSBC Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,32.15,27.23,26.83,0.64,747.3,1454.93,10.7,500,10000,Rahul Baijal,Index
Franklin Templeton Micro Cap Small Cap Scheme - Regular Plan - Growth,Franklin Templeton Mutual Fund,Equity,Small Cap,Micro Cap,High,4,34.63,27.53,22.57,0.9,751.25,5576.39,14.6,2500,5000,Chandraprakash Padiyar,GARP
Baroda BNP Paribas Nifty Next 50 Index Fund Fund - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Other,Index Fund,Nifty Next 50,Moderate,3,10.7,17.51,22.44,0.26,235.62,1503.36,17.0,1000,5000,Chandraprakash Padiyar,Index
Mirae Asset Dynamic Multi Cap Fund - Regular Plan - IDCW,Mirae Asset Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,4,1.92,9.9,9.4,1.74,461.27,344.6,5.3,500,10000,Sankaran Naren,Index
Mahindra Manulife Tax Advantage ELSS Fund - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,ELSS,Tax Advantage,High,5,31.93,25.44,30.19,0.85,705.99,519.6,10.2,1500,25000,Kalpen Parekh,Active
Kotak Mahindra ESG Thematic Fund - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Equity,Thematic,ESG,High,4,30.67,28.49,25.14,1.17,235.51,668.99,29.7,2500,500,Rahul Baijal,Income
IDFC Tax Saver ELSS Fund - Direct Plan - Growth,IDFC Mutual Fund,Equity,ELSS,Tax Saver,High,3,15.52,15.81,15.84,0.97,585.56,13524.92,26.3,1000,10000,Niket Shah,Active
Quant Senior Citizen Retirement Scheme - Direct Plan - Growth,Quant Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,3,19.66,14.05,14.56,1.31,248.38,94.82,14.3,500,10000,Vetri Subramaniam,Value
Edelweiss Contra Thematic Fund - Direct Plan - IDCW,Edelweiss Mutual Fund,Equity,Thematic,Contra,Moderately High,4,27.97,30.96,26.94,1.35,53.22,282.19,3.8,500,1000,Rahul Baijal,Index
Nippon India Focused Large Cap Fund - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,Large Cap,Focused,Moderate,4,16.22,17.29,20.29,1.41,345.64,170.14,23.3,1500,10000,Mahesh Patil,Income
HSBC Diversified Multi Cap Plan - Regular Plan - IDCW,HSBC Mutual Fund,Equity,Multi Cap,Diversified,High,2,13.01,8.28,8.05,0.61,194.57,202.68,28.0,100,5000,Chandraprakash Padiyar,Passive
Union Income Conservative Hybrid Fund - Regular Plan - IDCW,Union Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,2,9.69,9.97,10.17,1.47,772.89,2732.86,6.3,100,500,Jinesh Gopani,Passive
Axis Discovery Small Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity,Small Cap,Discovery,High,4,30.52,32.04,36.36,0.65,413.13,475.47,27.6,1000,10000,Chandraprakash Padiyar,Index
Franklin Templeton Senior Citizen Retirement Fund - Direct Plan - Growth,Franklin Templeton Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,2,5.44,7.57,8.76,0.58,774.67,149.0,18.2,500,5000,Ajay Tyagi,Active
Parag Parikh Consumption Sectoral Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Equity,Sectoral,Consumption,High,2,17.52,10.62,14.7,2.06,23.37,41.81,10.1,5000,5000,Vetri Subramaniam,GARP
Quant Banking & PSU Medium Duration Scheme - Regular Plan - IDCW,Quant Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,2,12.65,6.1,7.44,0.35,727.93,64.13,12.1,100,1000,Anish Tawakley,Index
Bandhan Dynamic Multi Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity,Multi Cap,Dynamic,Moderately High,5,28.05,20.72,20.75,0.53,499.04,1749.76,10.5,500,10000,Vetri Subramaniam,Growth
Motilal Oswal Multi Asset Dynamic Asset Allocation Fund - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,3,6.31,11.22,,1.48,218.35,378.36,10.0,1500,10000,Jinesh Gopani,Value
Canara Robeco Corporate Credit Risk Scheme - Direct Plan - IDCW,Canara Robeco Mutual Fund,Debt,Credit Risk,Corporate,Moderate,2,17.57,10.66,7.73,0.86,126.32,2883.88,15.5,500,500,Amit Ganatra,Income
Tata Corporate Credit Risk Fund - Direct Plan - IDCW,Tata Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,2,17.28,10.4,9.24,0.99,717.82,344.88,7.3,1000,25000,Atul Kumar,Income
Kotak Mahindra Focused Large Cap Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Large Cap,Focused,Moderate,3,11.05,8.76,6.39,0.38,190.94,76.63,24.2,1000,500,Amit Ganatra,Income
Mirae Asset Balanced Dynamic Asset Allocation Plan - Direct Plan - Growth,Mirae Asset Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,4,10.46,11.8,16.58,0.68,178.56,306.15,11.7,500,10000,Mahesh Patil,Index
Baroda BNP Paribas Education Children's Fund Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,4,12.36,13.77,18.11,0.45,174.54,487.11,17.2,1000,500,Amit Ganatra,Value
JM Financial High Yield Credit Risk Fund - Regular Plan - Growth,JM Financial Mutual Fund,Debt,Credit Risk,High Yield,Moderate,1,3.69,5.24,6.73,1.2,513.41,427.1,13.1,1000,5000,Divam Sharma,Active
IDFC Consumption Sectoral Fund - Direct Plan - Growth,IDFC Mutual Fund,Equity,Sectoral,Consumption,High,4,37.61,38.01,36.18,2.03,402.38,723.23,9.6,2000,1000,Ajay Tyagi,GARP
Edelweiss Equity Arbitrage Arbitrage Scheme - Direct Plan - Growth,Edelweiss Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,10.24,7.47,2.94,0.65,612.53,626.37,26.5,1000,1000,Rajeev Thakkar,Active
IDFC Growth Mid Cap Scheme - Direct Plan - Growth,IDFC Mutual Fund,Equity,Mid Cap,Growth,High,5,28.4,28.82,28.29,0.41,656.96,517.86,11.1,1500,1000,Gopal Agrawal,Blend
SBI Dynamic Bond Long Duration Plan - Direct Plan - Growth,SBI Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderate,2,11.3,8.06,12.62,0.78,324.58,1341.11,9.3,100,1000,Vetri Subramaniam,Value
Mahindra Manulife ESG Thematic Fund - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Thematic,ESG,High,3,25.54,27.75,29.35,1.25,165.55,2084.98,18.2,500,5000,Manish Gunwani,GARP
UTI Diversified Multi Cap Fund - Regular Plan - Growth,UTI Mutual Fund,Equity,Multi Cap,Diversified,High,3,17.84,17.09,16.45,1.6,663.72,1405.44,28.1,1000,25000,Jinesh Gopani,Growth
SBI Equity Arbitrage Arbitrage Scheme - Regular Plan - Growth,SBI Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,4.22,7.37,6.66,0.58,132.64,137.96,1.4,500,10000,Atul Kumar,Passive
Sundaram Education Children's Fund Plan - Direct Plan - IDCW,Sundaram Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,4,5.49,9.65,5.48,1.42,467.15,2853.81,10.7,500,1000,Swarup Mohanty,Index
Quantum Ultra Short Liquid Scheme - Direct Plan - IDCW,Quantum Mutual Fund,Debt,Liquid,Ultra Short,Low,1,-1.85,3.16,6.47,0.41,285.71,1616.72,11.6,5000,1000,Mahesh Patil,Passive
Parag Parikh Money Market Short Duration Plan - Direct Plan - Growth,Parag Parikh Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,-0.14,4.0,1.08,0.35,646.28,303.53,15.4,500,5000,Rajeev Thakkar,Passive
Mirae Asset Regular Savings Conservative Hybrid Scheme - Regular Plan - IDCW,Mirae Asset Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,4,-0.05,6.69,5.25,1.2,444.15,438.14,24.6,2000,10000,Rahul Baijal,Value
Mirae Asset Nifty 50 Index Fund Plan - Regular Plan - IDCW,Mirae Asset Mutual Fund,Other,Index Fund,Nifty 50,Moderate,4,20.76,19.1,19.03,0.12,787.58,225.1,20.2,1500,5000,Kalpen Parekh,Active
Quantum Discovery Mid Cap Scheme - Direct Plan - IDCW,Quantum Mutual Fund,Equity,Mid Cap,Discovery,High,4,26.03,24.64,24.1,1.74,217.85,645.14,13.7,1500,25000,Gopal Agrawal,GARP
HSBC Ultra Short Liquid Plan - Regular Plan - Growth,HSBC Mutual Fund,Debt,Liquid,Ultra Short,Low,1,10.19,5.65,4.6,0.36,127.28,846.45,22.0,500,5000,Atul Kumar,Growth
Quantum Bluechip Large Cap Fund - Direct Plan - Growth,Quantum Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,4,11.89,12.1,15.88,1.09,744.46,2858.4,14.8,500,5000,S. Nagnath,Active
Axis Overnight Liquid Scheme - Direct Plan - IDCW,Axis Mutual Fund,Debt,Liquid,Overnight,Low,1,8.32,3.48,0.95,0.46,729.37,1149.68,20.5,100,10000,Rahul Baijal,Value
Kotak Mahindra Regular Savings Conservative Hybrid Fund - Direct Plan - IDCW,Kotak Mahindra Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,1,7.54,5.92,1.26,0.9,130.64,3087.48,5.9,500,5000,Ajay Tyagi,Active
Baroda BNP Paribas IT Sectoral Scheme - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Sectoral,IT,Very High,4,20.4,18.43,14.17,1.51,152.64,18965.99,16.9,2000,10000,Pranav Gokhale,GARP
HDFC Balanced Advantage Aggressive Hybrid Scheme - Regular Plan - IDCW,HDFC Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,3,16.27,,,1.08,521.3,5087.72,1.0,2500,1000,Sankaran Naren,Active
Bandhan Corporate Credit Risk Fund - Direct Plan - IDCW,Bandhan Mutual Fund,Debt,Credit Risk,Corporate,Moderately High,4,5.67,8.71,4.57,0.59,739.19,353.97,11.0,500,5000,Atul Kumar,Active
UTI High Yield Credit Risk Plan - Regular Plan - IDCW,UTI Mutual Fund,Debt,Credit Risk,High Yield,Moderate,4,2.71,10.01,7.38,1.39,15.26,1946.87,6.4,2500,1000,Nimesh Chandan,GARP
HDFC International Fund of Funds Fund - Regular Plan - IDCW,HDFC Mutual Fund,Other,Fund of Funds,International,High,3,9.62,13.43,9.1,0.33,201.84,795.67,21.7,1500,5000,Ajay Tyagi,Value
Tata Pension Retirement Fund - Direct Plan - Growth,Tata Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,5.14,10.08,,1.4,645.06,4700.74,2.4,500,5000,Swarup Mohanty,Index
ICICI Prudential Money Market Short Duration Fund - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,12.81,6.29,,0.52,704.53,509.54,2.6,100,500,Sankaran Naren,Index
Nippon India Dynamic Multi Cap Plan - Regular Plan - Growth,Nippon India Mutual Fund,Equity,Multi Cap,Dynamic,Moderately High,4,22.26,15.14,12.97,1.14,539.67,23.8,5.3,1000,1000,Chirag Setalvad,Value
SBI High Yield Credit Risk Scheme - Regular Plan - Growth,SBI Mutual Fund,Debt,Credit Risk,High Yield,Moderately High,2,15.3,9.43,10.69,1.17,108.02,361.14,28.0,5000,500,Taher Badshah,Blend
Union Balanced Advantage Aggressive Hybrid Plan - Direct Plan - IDCW,Union Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,4,13.81,18.31,17.74,1.26,617.82,4012.77,3.6,500,25000,Shreyash Devalkar,Passive
Parag Parikh Gold Fund of Funds Fund - Regular Plan - Growth,Parag Parikh Mutual Fund,Other,Fund of Funds,Gold,Moderate,3,14.46,18.13,21.36,0.92,373.75,3431.52,22.0,1500,5000,Chandraprakash Padiyar,Value
Kotak Mahindra ESG Thematic Plan - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Equity,Thematic,ESG,Moderately High,5,25.18,21.99,24.1,0.49,688.92,80.28,14.0,2000,1000,Sailesh Raj Bhan,Blend
Franklin Templeton Discovery Small Cap Plan - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Small Cap,Discovery,High,4,14.4,14.67,18.54,1.14,601.78,1010.13,29.8,500,1000,S. Nagnath,GARP
Axis Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,Axis Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,4.86,4.84,2.18,0.53,625.83,274.89,23.3,1000,5000,Varun Goel,Blend
PGIM India Emerging Small Cap Scheme - Direct Plan - Growth,PGIM India Mutual Fund,Equity,Small Cap,Emerging,Very High,4,43.37,41.89,40.69,1.35,487.22,419.19,15.4,1000,500,Sohini Andani,Growth
